song title,artist,top genre,year,added,bpm,energy,dance,dB,live,valence,dur,acous,spch,popularity,km cluster
embraceable,Hers Lake,alternative,2022,2023‑09‑08,58,14,62,-17,11,13,160,98,4,50,1
Jalons,Rayonner,528hz,2022,2023‑09‑08,80,22,41,-19,9,11,151,66,3,50,1
That Bird of Prey Casts a Long Shadow,Random Forest,focus,2022,2023‑09‑08,110,19,53,-20,10,12,190,59,3,50,1
Chorale Bloom,MVS,background music,2022,2023‑09‑08,123,16,52,-19,12,6,143,83,3,50,1
Waiting for the Sunrise,Across The Great Valley,alternative,2022,2023‑09‑08,140,16,37,-19,8,5,175,97,4,50,1
Roundabout,NYMK,alternative,2021,2023‑09‑08,102,3,18,-23,11,12,189,82,4,50,1
deep wild,Far & Beyond,alternative,2022,2023‑09‑08,76,2,41,-19,14,13,153,97,4,50,1
Anagram,Imala Zir,alternative,2022,2023‑09‑08,74,9,39,-21,11,14,148,97,4,50,1
Hold My Hand,They Dream By Day,atmosphere,2021,2023‑09‑08,93,26,52,-17,11,8,162,81,4,50,1
Horizons,Hers Lake,alternative,2022,2023‑09‑08,75,18,49,-25,11,17,163,89,3,50,1
With Resolve,Jacob Yoffee,alternative,2020,2023‑09‑08,126,2,46,-34,11,27,130,98,4,50,1
The Five Times I Loved You,Cora Zea,background music,2020,2023‑09‑08,92,8,41,-22,11,8,206,99,3,50,1
Vague,Amaranth Cove,background music,2020,2023‑09‑08,140,25,32,-18,12,13,143,88,4,50,1
Collapse Into Light,Evin Iris,alternative,2019,2023‑09‑08,122,23,31,-18,10,6,180,93,3,50,1
nameless wonder,Dreams Ahead,alternative,2022,2023‑09‑08,74,10,57,-19,11,13,160,95,4,49,1
circles,Niveous,alternative,2022,2023‑09‑08,77,11,55,-19,11,9,152,96,4,49,1
Horoscopes,Isaak Young,alternative,2022,2023‑09‑08,174,17,46,-14,31,13,140,99,4,49,1
apple of my eye,Spaced Out Dreams,alternative,2022,2023‑09‑08,112,13,67,-19,11,20,150,99,4,49,1
Return To Sender,Dreams Ahead,alternative,2022,2023‑09‑08,74,4,48,-21,11,13,188,96,3,49,1
Silver Lining,Agnes Lundh,alternative,2022,2023‑09‑08,75,4,45,-20,11,14,142,95,3,49,1
Ultraviolet,Josef Briem,alternative,2022,2023‑09‑08,78,5,57,-22,11,13,174,99,4,49,1
neck of the woods,Dreams Ahead,alternative,2022,2023‑09‑08,79,4,22,-19,11,12,146,96,4,49,1
paragraphs,Dance Of Centuries,alternative,2022,2023‑09‑08,116,8,65,-18,11,12,124,99,4,49,1
Humane,Andrew Oye,alternative,2022,2023‑09‑08,134,9,46,-20,14,6,154,80,4,49,1
Tied Together,Agnes Lundh,alternative,2022,2023‑09‑08,71,8,57,-20,10,38,157,96,5,49,1
Chasing Tides,Josef Briem,alternative,2022,2023‑09‑08,75,2,49,-22,10,6,148,93,3,49,1
In A Week Or Two,Isaak Young,alternative,2022,2023‑09‑08,65,7,41,-20,7,8,151,90,3,49,1
summer silence,Niveous,alternative,2022,2023‑09‑08,69,6,34,-18,12,17,176,96,4,49,1
Eulogy,Woven Hearts,calming instrumental,2022,2023‑09‑08,57,9,14,-23,10,9,148,81,4,49,1
Gentle Whisper,Josef Briem,alternative,2022,2023‑09‑08,150,26,47,-23,11,7,179,94,4,49,1
heels to the heavens,Dössell,alternative,2021,2023‑09‑08,64,16,30,-17,11,5,178,95,3,49,1
Breathe,Night Songs,alternative,2022,2023‑09‑08,78,12,54,-21,8,11,161,81,3,49,1
Undeniable,Hollow Light,background music,2022,2023‑09‑08,110,19,53,-18,8,8,175,85,3,49,1
Mývatn,Haltura Arnadottir,alternative,2022,2023‑09‑08,77,20,39,-24,10,13,159,91,3,49,1
synergy,Dreams Ahead,alternative,2022,2023‑09‑08,120,13,59,-20,11,12,184,90,5,49,1
aesthetics,Agnes Lundh,alternative,2022,2023‑09‑08,171,7,33,-16,11,23,134,98,4,49,1
Heliosphere,Haltura Arnadottir,alternative,2022,2023‑09‑08,71,6,37,-20,9,17,188,95,4,49,1
bewildered,Garden Collective,alternative,2022,2023‑09‑08,85,12,55,-20,11,12,162,91,4,49,1
In Every Heartbeat,Axione,alternative,2022,2023‑09‑08,200,7,33,-25,12,4,163,94,4,49,1
The Outlook,Benjamin Martins,background music,2021,2023‑09‑08,170,17,38,-24,10,4,179,96,5,49,1
Mount Soul,Nova Explora,alternative,2021,2023‑09‑08,120,6,41,-22,11,3,147,93,4,49,1
Coastlines,Garden Collective,alternative,2022,2023‑09‑08,83,11,43,-26,11,5,179,83,3,49,1
Undiscovered,Elementaries,chill beats,2022,2023‑09‑08,114,13,35,-16,11,4,219,86,4,49,1
ouma,Fall Ball,alternative,2021,2023‑09‑08,134,7,21,-21,30,9,178,85,4,49,1
eternal wind down,Riley Power,alternative,2021,2023‑09‑08,153,25,33,-19,13,13,184,94,4,49,1
Into The Deep End,The Purple Stripe,background music,2022,2023‑09‑08,124,14,62,-12,8,6,174,94,4,49,1
Flowing,Lucas Delphy,alternative,2020,2023‑09‑08,72,14,20,-20,21,14,131,90,3,49,1
Stillness Within,Roots and Recognition,alternative,2021,2023‑09‑08,111,10,33,-17,11,13,176,97,4,49,1
Ethereal Glow,Far & Beyond,alternative,2022,2023‑09‑08,74,11,36,-24,11,7,152,91,3,49,1
two,cloudcrush,alternative,2021,2023‑09‑08,80,16,60,-16,11,4,188,42,4,49,1
Everlonging,Niveous,alternative,2022,2023‑09‑08,139,15,21,-22,11,12,127,97,3,49,1
Will to Live,Jacob Yoffee,alternative,2020,2023‑09‑08,112,11,43,-30,9,10,136,95,4,49,1
Falling Rivers,Yolta,background music,2021,2023‑09‑08,103,6,26,-26,11,4,219,85,3,49,1
everpresent,Imber Sun,alternative,2022,2023‑09‑08,145,18,36,-20,11,7,156,92,4,49,1
Snowfields,Shape Of Our Dreams,alternative,2022,2023‑09‑08,113,23,27,-24,11,15,169,88,4,49,1
For a Moment,Amaranth Cove,background music,2020,2023‑09‑08,140,21,55,-18,11,5,169,95,3,49,1
Further Than Far,Shape Of Our Dreams,alternative,2022,2023‑09‑08,63,6,50,-23,11,10,169,94,4,49,1
Awakening,Starlight Passage,alternative,2022,2023‑09‑08,114,5,26,-27,12,10,148,99,5,49,1
Coming Home,Zoe Connelly,background music,2019,2023‑09‑08,82,14,20,-19,8,11,173,85,3,49,1
Bortom Träden,Erik Reno,ambient guitar,2020,2023‑09‑08,124,6,45,-26,9,11,261,80,4,49,1
Arriving,Hilder Sky,alternative,2019,2023‑09‑08,70,1,28,-23,12,4,145,100,4,49,1
Rainy Nights,Random Forest,focus,2022,2023‑09‑08,160,38,44,-18,12,20,285,45,3,48,1
Needless to Say,Elkoo,alternative,2022,2023‑09‑08,110,9,47,-20,11,17,133,87,3,48,1
River Deep,2am Fieldscape,alternative,2022,2023‑09‑08,77,1,29,-25,9,8,208,94,4,48,1
lining the cloud,Aguto Rising,alternative,2022,2023‑09‑08,64,5,10,-23,12,4,152,98,4,48,1
zoot suit,Blackbird Co.,alternative,2021,2023‑09‑08,77,14,32,-17,10,9,129,94,3,48,1
Golden,Clear Blue Skies,alternative,2020,2023‑09‑08,140,32,52,-15,11,15,140,48,4,48,1
Hold the Handle,Forest Landing,alternative,2021,2023‑09‑08,79,22,22,-19,12,4,208,90,4,48,1
jubilance,Däalo,alternative,2021,2023‑09‑08,71,15,45,-14,8,5,163,98,3,48,1
Catch a Breath,Light of Sun,alternative,2022,2023‑09‑08,112,16,47,-18,9,11,217,94,5,48,1
The Meaning,Fondur,alternative,2022,2023‑09‑08,70,7,45,-18,11,9,198,69,3,48,1
Rectifier,12dust,alternative,2021,2023‑09‑08,70,10,12,-20,13,7,153,84,5,48,1
Lupina's Dream,Lama House,background music,2021,2023‑09‑08,130,13,27,-15,11,7,209,93,3,48,1
Midnight Mirage,Atlas,alternative,2023,2023‑09‑08,82,4,47,-24,11,18,138,86,4,48,1
Mind Of Lust,Sandomina,alternative,2020,2023‑09‑08,87,15,31,-24,10,3,136,93,3,48,1
Dreamer,Ygor Ghensev,alternative,2020,2023‑09‑08,64,18,16,-21,8,5,159,93,3,48,1
Eleven Shades,Lunaire,calming instrumental,2020,2023‑09‑08,82,14,41,-23,10,4,217,96,3,48,1
Time Travel,AMBIE,alternative,2020,2023‑09‑08,138,29,50,-17,15,16,161,97,3,48,1
Change Of Tides,Stories Seldom Told,alternative,2022,2023‑09‑08,115,7,51,-23,11,13,178,88,5,48,1
Den inre skogen,Thomas Jackson,alternative,2020,2023‑09‑08,127,38,53,-18,13,5,230,92,5,48,1
The Discovery,Sulfur Springs,alternative,2019,2023‑09‑08,130,13,41,-22,9,4,193,83,4,48,1
Wild Flowers,MVS,background music,2020,2023‑09‑08,74,11,25,-20,15,12,134,98,5,48,1
Takeoff,Silo Silo,alternative,2020,2023‑09‑08,180,32,44,-12,8,7,195,63,3,48,1
Projections,Jacob Yoffee,alternative,2020,2023‑09‑08,112,7,33,-27,8,4,160,69,4,48,1
mellow,cloudcrush,alternative,2020,2023‑09‑08,112,16,61,-16,11,7,144,99,3,48,1
Dream Circuit,Focal Point,alternative,2021,2023‑09‑08,102,24,50,-20,7,9,182,89,3,48,1
Momentum,Monocle Twins,background music,2020,2023‑09‑08,117,25,64,-17,11,14,179,89,3,48,1
Bull’s Eye,Tom Kalani,chill out,2022,2023‑09‑08,107,34,56,-22,11,11,151,79,3,48,1
Limitless,Lucas Delphy,alternative,2019,2023‑09‑08,140,19,24,-20,11,4,166,40,4,48,1
Water Colors,Star Slide,alternative,2019,2023‑09‑08,72,12,47,-19,9,7,182,63,4,48,1
Presence,Van Stiles,alternative,2019,2023‑09‑08,127,29,62,-17,10,6,126,97,4,48,1
Auburn Sky,Toledo Rains,background music,2020,2023‑09‑08,133,4,27,-27,9,7,163,91,4,48,1
Malibu,Matthew Harvey,ambient guitar,2019,2023‑09‑08,148,15,44,-21,7,8,150,98,4,48,1
Crystal Shores,Dean Valio,background music,2019,2023‑09‑08,110,3,48,-26,10,14,171,96,3,48,1
Drifting,Silje Månsson,background music,2019,2023‑09‑08,85,3,25,-28,10,4,123,76,4,48,1
Waiting,Sheltered Solitude,background music,2019,2023‑09‑08,107,8,33,-16,10,7,130,94,4,48,1
Willow - Instrumental Version,Seth Luke,instrumental lullaby,2021,2023‑09‑08,77,14,26,-20,9,31,220,98,4,48,1
Keeping it together,Isaak Young,alternative,2023,2023‑09‑08,61,9,29,-23,11,13,189,94,4,0,0
Blue Days,Louaminé,alternative,2023,2023‑09‑08,70,8,56,-20,11,12,121,98,3,0,0
Neon Sky,Garden Collective,alternative,2023,2023‑09‑08,74,10,56,-25,12,4,171,88,3,0,0
"Dolly Suite, Op. 56: I. Berceuse",Gabriel Fauré,classical,2015,2023‑08‑18,63,1,37,-34,9,28,177,100,4,66,1
Carmen Suite No. 1 (Arr. E. Guiraud): IV. Séguedille,Georges Bizet,classical,2017,2023‑08‑18,176,1,25,-37,16,19,122,95,4,61,1
"Symphony No. 6 in F Major, Op. 68, ""Pastorale"": I. Allegro ma non troppo, ""Awakening of cheerful feelings on arriving in the countryside""",Ludwig van Beethoven,classical,2022,2023‑08‑18,117,6,37,-23,13,28,712,96,4,56,1
Merry-Go-Round of Life,Joe Hisaishi,anime,2023,2023‑08‑18,89,19,22,-15,10,11,165,96,3,56,1
amour,Jean-Michel Blais,alternative,2022,2023‑08‑18,132,21,18,-14,10,13,278,85,4,55,1
"Antiche Danze Ed Arie Per Liuto (Ancient Airs And Dances), P. 114: IV. Italiana",Ottorino Respighi,classical,1997,2023‑08‑18,197,2,30,-35,7,34,168,100,6,54,1
"Salut d'amour, Op. 12",Edward Elgar,british modern classical,2014,2023‑08‑18,95,13,17,-22,13,5,175,90,5,53,1
"Boccherini: String Quintet in E Major, Op. 13 No. 6, G. 282: III. Minuetto - Trio",Luigi Boccherini,classical,1986,2023‑08‑18,85,4,50,-26,14,43,238,96,3,51,1
"3 Nouvelles etudes, Op. posth.: II. Etude No. 26 in A-Flat Major",Frédéric Chopin,classical,2000,2023‑08‑18,74,1,21,-37,10,8,151,100,4,51,1
"Widmung, Op. 25 No. 1",Robert Schumann,early romantic era,2021,2023‑08‑18,74,3,24,-23,11,4,238,99,5,51,1
"GoldBergHain (Quodlibet on ""Kraut und Rüben haben mich vertrieben"") for Violin & String Orchestra",Stephan Koncz,german orchestra,2020,2023‑08‑18,117,13,39,-20,17,41,165,79,5,50,1
La Gioconda / Act 3: Dance Of The Hours,Amilcare Ponchielli,classical,2012,2023‑08‑18,120,1,55,-31,22,16,163,92,5,50,1
Copland: Appalachian Spring: VII. Doppio movimento (Variations on a Shaker Hymn - Simple Gifts),Aaron Copland,american modern classical,2014,2023‑08‑18,82,10,21,-17,10,30,181,97,4,49,1
"Concerto a 5 in B flat, Op. 7, no.10 for Strings and Continuo: 3. Allegro",Tomaso Albinoni,baroque,1992,2023‑08‑18,107,17,59,-19,10,80,97,90,4,48,1
"Nonet in E-Flat Major, Op. 38: III. Scherzo. Vivace",Louise Farrenc,early romantic era,2010,2023‑08‑18,79,5,39,-25,9,31,308,98,4,47,1
My Neighbour TOTORO,Joe Hisaishi,anime,2020,2023‑08‑18,80,30,18,-14,8,11,247,77,4,47,1
"The Nutcracker, Op. 71, TH.14 / Act 2: No. 12e Dance of the Reed Pipes",Pyotr Ilyich Tchaikovsky,classical,1998,2023‑08‑18,143,12,40,-27,21,35,134,93,4,46,1
"Petite suite de concert, Op. 77: III. Un sonnet d'amour",Samuel Coleridge-Taylor,light music,2000,2023‑08‑18,71,1,10,-35,13,6,185,90,4,46,1
Miracles,Alexis Ffrench,neo-classical,2023,2023‑08‑18,152,10,21,-22,14,10,204,95,4,46,1
"An der schönen blauen Donau, Walzer, Op. 314",Johann Strauss II,classical,2020,2023‑08‑18,200,9,21,-19,7,14,622,98,4,45,1
"Préludes / Book 1, L. 117: VIII. La fille aux cheveux de lin (Arr. Garrett / van der Heijden for Violin, Flute and Orchestra)",Claude Debussy,classical,2022,2023‑08‑18,99,28,22,-13,12,10,157,92,4,43,1
Canarios,Gaspar Sanz,baroque,1997,2023‑08‑18,103,8,34,-24,12,74,131,99,4,43,1
Kitsch-Musik: III. Allegretto,Valentin Silvestrov,ukrainian classical,2013,2023‑08‑18,65,0,18,-42,9,16,182,100,4,43,1
The Lark Ascending: I. Andante sostenuto,Ralph Vaughan Williams,classical,2022,2023‑08‑18,98,8,20,-24,11,4,373,93,6,42,1
"Dances in the Canebrakes (Arr. W.G. Still for Orchestra): No. 1, Nimble Feet",Florence Beatrice Price,african-american classical,2019,2023‑08‑18,88,8,39,-20,9,30,155,99,3,42,1
Il Tempo delle Cose,Alberto Giurioli,alternative,2022,2023‑08‑18,127,16,23,-17,9,7,364,86,4,41,1
"3 Concert Études, S. 144: No. 3 in D-Flat Major, ""un sospiro""",Franz Liszt,classical,2004,2023‑08‑18,69,6,24,-25,19,3,341,99,4,41,1
"Tchaikovsky: Serenade for Strings in C, Op. 48 - 2. Walzer: Moderato (Tempo di valse)",Pyotr Ilyich Tchaikovsky,classical,2020,2023‑08‑18,101,22,24,-17,18,30,215,88,4,41,1
African Suite: V. Akinla: Allegro non troppo,Fela Sowande,american orchestra,2000,2023‑08‑18,130,1,51,-38,11,37,194,89,5,41,1
Un homme et une femme,Gautier Capuçon,classical cello,2023,2023‑08‑18,64,12,11,-23,11,13,181,94,4,40,1
"Les Patineurs, Waltz, Op. 183",Émile Waldteufel,french romanticism,1993,2023‑08‑18,99,15,36,-18,6,21,452,98,3,40,1
Les Beautés Du Diable,François Dompierre,canadian soundtrack,2003,2023‑08‑18,132,11,37,-23,10,55,196,94,4,40,1
The Waltzing Cat,Leroy Anderson,american modern classical,2004,2023‑08‑18,134,7,36,-22,6,25,167,98,4,40,1
Concerto Magna Carta: III. Intense and energetic,John Brunning,chinese classical performance,2022,2023‑08‑18,76,28,24,-14,10,30,401,95,3,39,1
"Oboe Concerto in C Major, K. 314: III. Rondo (Allegretto) - Cadenza: Randall Wolfgang",Wolfgang Amadeus Mozart,classical,2001,2023‑08‑18,118,12,54,-21,17,54,339,97,4,39,1
"Concerto for 2 Mandolins, Strings and Continuo in G Major, RV. 532: III. Allegro",Antonio Vivaldi,baroque,2012,2023‑08‑18,143,21,55,-21,11,77,232,75,4,39,1
"Concerto No. 4 in E-Flat Major, K.495: III. Rondo. Allegro Vivace",Wolfgang Amadeus Mozart,classical,2019,2023‑08‑18,122,13,42,-22,11,52,238,99,5,39,1
Julie-O,Mark Summer,classical guitar,2019,2023‑08‑18,80,14,45,-19,11,43,283,97,5,39,1
"The Birds, P. 154: V. The Cuckoo (Il cuccù)",Ottorino Respighi,classical,2011,2023‑08‑18,118,3,31,-24,28,10,257,96,5,38,1
Open Strings,Kaiser Quartett,modern string quartet,2023,2023‑08‑18,150,13,35,-16,10,20,197,93,3,38,1
"Antiche danze ed arie per liuto, Suite No. 1, P. 109: I. Balletto detto Il Conte Orlando",Ottorino Respighi,classical,2016,2023‑08‑18,56,10,41,-21,26,28,140,87,4,38,1
Harp Concerto in A major: 3. Rondeau: Allegretto,Carl Ditters von Dittersdorf,baroque,1997,2023‑08‑18,97,13,60,-20,9,37,237,99,3,38,1
"String Quintet in C Major, Op. 29: III. Scherzo (Allegro)",Ludwig van Beethoven,classical,2020,2023‑08‑18,157,9,40,-20,10,32,252,91,6,38,1
Serenade in D Major: II. Scherzo. Allegro vivace,Dame Ethel Smyth,british orchestra,1996,2023‑08‑18,148,6,28,-25,6,10,369,94,4,38,1
"An die Musik, D. 547 - Arr. for Arpeggione and Piano",Franz Schubert,classical,2005,2023‑08‑18,91,3,16,-26,9,8,126,99,4,38,1
"Violin Concerto in B-Flat Major, Op. 10 No. 1: I. Allegro",Jean-Marie Leclair,baroque,2020,2023‑08‑18,99,13,43,-22,11,46,299,92,4,38,1
"Serenade No. 2 in A Major, Op. 16: 2. Scherzo. Vivace",Johannes Brahms,classical,2010,2023‑08‑18,99,22,50,-19,15,56,163,99,3,37,1
"Lucio Silla, K. 135: Overture, Pt. 1. Andante",Wolfgang Amadeus Mozart,classical,2017,2023‑08‑18,151,1,22,-32,15,11,167,84,5,35,1
"Trumpet Concerto in E Flat, H.VIIe/1: 3. Allegro",Joseph Haydn,classical,2021,2023‑08‑18,139,20,53,-19,5,48,266,96,4,31,1
Cruel Summer,Taylor Swift,pop,2019,2023‑09‑02,170,70,55,-6,11,56,178,12,16,100,2
Seven (feat. Latto) (Explicit Ver.),Jung Kook,k-pop,2023,2023‑09‑02,125,83,80,-4,8,89,185,31,4,99,2
LALA,Myke Towers,reggaeton,2023,2023‑09‑02,92,74,71,-4,10,61,198,7,4,99,2
Paint The Town Red,Doja Cat,dance pop,2023,2023‑09‑02,100,54,87,-9,9,73,232,27,17,98,2
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,art pop,2023,2023‑09‑02,78,9,44,-18,10,14,222,96,3,98,2
vampire,Olivia Rodrigo,pop,2023,2023‑09‑02,138,53,51,-6,31,32,220,17,6,97,2
Dance The Night - From Barbie The Album,Dua Lipa,dance pop,2023,2023‑09‑02,110,85,67,-5,33,78,177,2,5,97,2
fukumean,Gunna,atl hip hop,2023,2023‑09‑02,130,62,85,-7,28,22,125,12,9,96,2
Daylight,David Kushner,gen z singer-songwriter,2023,2023‑09‑02,130,43,51,-9,9,32,213,83,3,96,2
WHERE SHE GOES,Bad Bunny,reggaeton,2023,2023‑09‑02,144,80,65,-4,11,23,232,14,6,96,2
Flowers,Miley Cyrus,pop,2023,2023‑09‑02,118,68,71,-4,3,65,200,6,7,95,2
La Bebe - Remix,Yng Lvcas,reggaeton,2023,2023‑09‑02,170,48,81,-6,8,56,234,21,33,95,2
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,hip pop,2023,2023‑09‑02,144,58,77,-8,23,75,110,52,25,94,2
MELTDOWN (feat. Drake),Travis Scott,hip hop,2023,2023‑09‑02,112,77,56,-5,40,40,246,1,35,94,2
LADY GAGA,Peso Pluma,corridos tumbados,2023,2023‑09‑02,140,74,65,-7,42,87,213,22,4,94,2
Super Shy,NewJeans,k-pop,2023,2023‑09‑02,150,82,78,-6,15,52,155,18,7,94,2
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,rap,2022,2023‑09‑02,98,62,72,-6,8,17,222,42,5,93,2
bad idea right?,Olivia Rodrigo,pop,2023,2023‑09‑02,130,88,63,-3,6,80,185,0,9,93,2
I KNOW ?,Travis Scott,hip hop,2023,2023‑09‑02,118,62,93,-4,10,82,212,2,5,93,2
FE!N (feat. Playboi Carti),Travis Scott,hip hop,2023,2023‑09‑02,148,88,57,-3,14,20,192,3,6,93,2
un x100to,Grupo Frontera,musica chihuahuense,2023,2023‑09‑02,83,72,57,-4,27,56,195,23,5,93,2
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,canadian contemporary r&b,2023,2023‑09‑02,99,68,86,-6,41,85,215,6,19,93,2
See You Again (feat. Kali Uchis),"Tyler, The Creator",hip hop,2017,2023‑09‑02,79,56,56,-9,11,62,180,37,10,93,2
Calm Down (with Selena Gomez),Rema,afrobeats,2022,2023‑09‑02,107,81,80,-5,11,80,239,38,4,92,2
Ella Baila Sola,Eslabon Armado,corrido,2023,2023‑09‑02,148,76,67,-5,8,83,166,48,3,92,2
TELEKINESIS (feat. SZA & Future),Travis Scott,hip hop,2023,2023‑09‑02,83,54,46,-5,17,22,354,57,3,92,2
TULUM,Peso Pluma,corridos tumbados,2023,2023‑09‑02,168,87,56,-4,11,63,209,39,5,92,2
SABOR FRESA,Fuerza Regida,corrido,2023,2023‑09‑02,130,86,79,-5,9,96,157,9,9,92,2
Baby Don't Hurt Me,David Guetta,big room,2023,2023‑09‑02,128,91,60,-3,12,23,140,0,3,92,2
Fast Car,Luke Combs,contemporary country,2023,2023‑09‑02,98,60,71,-6,12,67,265,19,3,91,2
Snooze,SZA,pop,2022,2023‑09‑02,143,55,56,-7,11,39,202,14,13,91,2
K-POP,Travis Scott,hip hop,2023,2023‑09‑02,121,62,81,-6,67,54,185,4,6,91,2
TQM,Fuerza Regida,corrido,2023,2023‑09‑02,125,85,79,-5,11,96,157,27,6,91,2
AMARGURA,KAROL G,reggaeton,2023,2023‑09‑02,107,70,92,-3,15,55,170,18,7,91,2
Rich Men North of Richmond,Oliver Anthony Music,alternative,2023,2023‑09‑02,122,26,68,-12,30,53,187,75,6,90,2
QLONA,KAROL G,reggaeton,2023,2023‑09‑02,170,76,84,-7,9,42,173,53,34,90,2
I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,pop,2023,2023‑09‑02,123,76,69,-5,6,82,273,6,3,90,2
MY EYES,Travis Scott,hip hop,2023,2023‑09‑02,119,62,46,-8,12,28,251,65,5,90,2
Chemical,Post Malone,dfw rap,2023,2023‑09‑02,170,90,50,-5,12,37,184,0,5,89,2
Speed Drive (From Barbie The Album),Charli XCX,art pop,2023,2023‑09‑02,174,88,65,-6,9,79,118,0,8,89,2
LAGUNAS,Peso Pluma,corridos tumbados,2023,2023‑09‑02,116,62,77,-11,15,79,231,33,3,89,2
Last Night,Morgan Wallen,contemporary country,2023,2023‑09‑02,204,68,49,-5,14,48,164,47,4,88,2
Kill Bill,SZA,pop,2022,2023‑09‑02,89,73,64,-6,16,43,154,5,4,88,2
MI EX TENÍA RAZÓN,KAROL G,reggaeton,2023,2023‑09‑02,160,73,63,-5,21,85,154,8,6,88,2
RUBICON,Peso Pluma,corridos tumbados,2023,2023‑09‑02,140,82,76,-7,33,92,238,14,4,88,2
TOPIA TWINS (feat. Rob49 & 21 Savage),Travis Scott,hip hop,2023,2023‑09‑02,160,57,72,-4,7,33,223,6,9,88,2
All My Life (feat. J. Cole),Lil Durk,chicago drill,2023,2023‑09‑02,143,44,83,-8,10,69,223,15,33,87,2
Dial Drunk (with Post Malone),Noah Kahan,pov: indie,2023,2023‑09‑02,112,61,67,-7,11,68,214,12,3,87,2
Search & Rescue,Drake,canadian hip hop,2023,2023‑09‑02,142,44,82,-8,33,54,272,6,7,87,2
Religiously,Bailey Zimmerman,contemporary country,2023,2023‑09‑02,141,67,57,-7,11,59,179,43,3,86,2
Thinkin’ Bout Me,Morgan Wallen,contemporary country,2023,2023‑09‑02,140,76,66,-6,12,43,177,49,3,86,2
Deli,Ice Spice,bronx drill,2023,2023‑09‑02,140,76,79,-6,13,27,127,12,20,86,2
Area Codes,Kaliii,rap,2023,2023‑09‑02,155,39,82,-11,9,51,139,2,49,85,2
Princess Diana (with Nicki Minaj),Ice Spice,bronx drill,2023,2023‑09‑02,148,68,90,-5,10,74,172,14,19,84,2
Dawns (feat. Maggie Rogers),Zach Bryan,classic oklahoma country,2023,2023‑09‑02,123,44,45,-8,19,29,291,87,5,84,2
Oh U Went (feat. Drake),Young Thug,atl hip hop,2023,2023‑09‑02,136,79,81,-6,8,47,185,5,24,83,2
Oklahoma Smokeshow,Zach Bryan,classic oklahoma country,2022,2023‑09‑02,123,57,54,-6,10,23,212,10,4,83,2
"Burn, Burn, Burn",Zach Bryan,classic oklahoma country,2022,2023‑09‑02,83,30,51,-11,11,13,269,90,8,83,2
Need A Favor,Jelly Roll,country rap,2022,2023‑09‑02,158,77,50,-4,8,56,197,1,3,82,2
Cupid,FIFTY FIFTY,k-pop girl group,2023,2023‑09‑02,120,66,77,-8,40,96,174,66,3,82,2
Jaded,Miley Cyrus,pop,2023,2023‑09‑02,91,59,50,-5,9,18,186,5,3,82,2
In Your Love,Tyler Childers,kentucky indie,2023,2023‑09‑02,127,41,53,-10,12,24,226,84,4,82,2
Stand By Me (feat. Morgan Wallen),Lil Durk,chicago drill,2023,2023‑09‑02,134,58,76,-8,16,61,218,6,3,82,2
White Horse,Chris Stapleton,contemporary country,2023,2023‑09‑02,145,77,35,-11,11,22,268,0,5,81,2
Try That In A Small Town,Jason Aldean,contemporary country,2023,2023‑09‑02,146,86,46,-4,11,33,180,5,5,80,2
Peaches & Eggplants (feat. 21 Savage),Young Nudy,pluggnb,2023,2023‑09‑02,146,54,91,-8,11,58,204,1,28,80,2
Johnny Dang (with Paul Wall & DRODi),That Mexican OT,texas latin rap,2023,2023‑09‑02,120,67,97,-5,13,75,192,42,15,80,2
Barely Holdin' On,Polo G,chicago rap,2023,2023‑09‑02,157,58,72,-6,26,54,174,10,15,80,2
Turn Yo Clic Up (feat. Future),Quavo,atl hip hop,2023,2023‑09‑02,125,56,87,-7,14,63,231,58,38,80,2
Heartbroken (feat. Jessie Murph & Polo G),Diplo,edm,2023,2023‑09‑02,147,62,65,-6,10,65,207,18,8,80,2
Favorite Song,Toosii,north carolina hip hop,2023,2023‑09‑02,116,37,82,-9,10,41,209,31,6,79,2
Next Thing You Know,Jordan Davis,contemporary country,2022,2023‑09‑02,79,60,56,-8,10,41,175,65,5,79,2
What It Is (Block Boy) (with Kodak Black),Doechii,alternative r&b,2023,2023‑09‑02,172,74,73,-6,12,73,223,11,17,79,2
Lose Control,Teddy Swims,alternative,2023,2023‑09‑02,160,60,56,-4,10,24,211,20,3,79,2
Karma (feat. Ice Spice),Taylor Swift,pop,2023,2023‑09‑02,90,62,62,-7,58,7,201,6,6,78,2
Watermelon Moonshine,Lainey Wilson,contemporary country,2022,2023‑09‑02,140,41,74,-7,13,65,209,47,3,78,2
Put It On Da Floor Again (feat. Cardi B),Latto,trap queen,2023,2023‑09‑02,111,61,85,-7,6,47,186,3,32,78,2
Your Heart Or Mine,Jon Pardi,contemporary country,2022,2023‑09‑02,86,71,64,-4,10,72,161,5,3,78,2
Pretty Little Poison,Warren Zeiders,modern country pop,2023,2023‑09‑02,112,56,52,-5,16,22,218,3,3,78,2
S91,KAROL G,reggaeton,2023,2023‑09‑02,128,72,86,-5,9,39,173,63,22,78,2
