,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
143,Hand Woven Clouds,Polly Carter,,2022,2023‑09‑05,89,1,33,-34,9,15,156,100,5,37
144,Le coeur du ciel,Mírabilis,background piano,2023,2023‑09‑05,63,11,48,-25,10,31,129,99,5,37
145,Sonnenblume,Oscar Sergel,background piano,2022,2023‑09‑05,121,14,46,-26,12,34,133,99,4,37
146,Perspectives,Gunnel Boek,,2021,2023‑09‑05,107,11,48,-23,10,40,186,98,3,37
147,Gullviva,Alfred Janders,background piano,2023,2023‑09‑05,113,3,33,-29,10,25,158,99,4,36
148,Eisriesenwelt,Maik Kuefer,,2023,2023‑09‑05,143,16,47,-21,10,50,129,99,5,36
149,On The Way Home,Dario Crisman,neo-classical,2022,2023‑09‑05,48,4,48,-22,10,23,146,99,4,36
150,Valse,Egor Grushin,,2022,2023‑09‑05,67,2,33,-26,9,15,128,95,4,36
151,Let It Be Us,Tjeerd Oosterhuis,,2023,2023‑09‑05,66,7,46,-27,12,14,154,99,5,36
152,Op Reis (Traveling),Doeke,,2022,2023‑09‑05,165,3,35,-29,10,52,219,99,4,36
153,A Picture Of Her,Derick Carson,,2023,2023‑09‑05,144,7,39,-23,11,65,133,99,4,35
154,Si proche,Zdenek Lemelin,background piano,2023,2023‑09‑05,67,7,53,-23,10,44,136,99,4,35
155,Page blanche,Leone Frederic,,2022,2023‑09‑05,113,3,47,-24,8,26,151,98,6,35
156,Ti sto aspettando,Fioretta Rizzo,background piano,2023,2023‑09‑05,85,11,59,-20,10,56,113,100,7,35
157,Ámbar,Dwight Rivera,,2023,2023‑09‑05,129,2,36,-27,11,13,163,99,4,35
158,Sommer,Philipp Hasse,,2023,2023‑09‑05,119,25,47,-27,10,24,136,99,4,35
159,Gentle Hands,Anne Straub,background piano,2022,2023‑09‑05,144,4,28,-23,10,15,135,99,4,35
160,Charlie's Dream,Alexander Motovilov,,2022,2023‑09‑05,86,7,50,-27,9,25,134,99,3,35
161,Love Letter,Damien Jeunet,,2023,2023‑09‑05,73,6,35,-30,10,10,102,98,3,35
162,Little Bird,Richard Sauzal,,2022,2023‑09‑05,111,2,44,-28,11,38,110,99,6,35
163,Water Lilies,John Vegard Schow,,2022,2023‑09‑05,65,4,33,-25,10,30,121,99,5,35
164,Simply Love,Højsgaard,,2022,2023‑09‑05,203,5,24,-27,15,19,146,99,4,35
165,Allegrini,Valentina Barbarella,background piano,2022,2023‑09‑05,135,5,31,-29,10,6,119,99,4,35
166,La creacion,Juergen Steltzer,background piano,2021,2023‑09‑05,110,4,37,-28,13,29,185,100,4,35
167,Liedchen,Christian Menke,,2023,2023‑09‑05,114,4,35,-27,11,21,156,99,5,34
168,When Twilight Ends,Leslie Miles,,2023,2023‑09‑05,142,2,39,-27,10,43,94,100,4,34
169,Mandeville,Moleno,background piano,2022,2023‑09‑05,142,4,33,-26,10,14,177,99,4,34
170,Watching Juliette,Søme,,2022,2023‑09‑05,133,6,45,-26,16,4,217,98,4,34
171,Girasole,Teide,background piano,2022,2023‑09‑05,126,6,36,-23,11,37,162,97,4,34
172,Shimmer,Dylan John Sparkes,,2022,2023‑09‑05,102,9,35,-27,17,15,134,98,3,34
173,Lilt,Eugene Goh,,2022,2023‑09‑05,112,13,41,-22,11,13,141,98,4,34
174,Forever,Affinity88,background piano,2022,2023‑09‑05,114,3,41,-26,10,27,132,98,4,34
175,Toujours,Anne Vallayer,background piano,2021,2023‑09‑05,137,16,46,-26,10,49,134,97,10,34
176,Son De Pluie,Martin La Pelle,,2023,2023‑09‑05,132,6,31,-20,11,6,156,98,4,34
177,Notre terre,Mattéo Roussel,background piano,2022,2023‑09‑05,137,29,29,-26,10,51,159,99,4,34
178,Beneath the Surface,Manu Calhu,,2018,2023‑09‑05,78,6,46,-20,13,23,198,99,7,34
179,Blomstre,Catherine Peterson,,2023,2023‑09‑05,100,3,47,-27,11,29,154,98,7,33
180,Jeunesse du printemps,Alicia West,,2022,2023‑09‑05,93,8,41,-27,10,38,145,100,6,33
181,Anyone,Lena Terne,,2022,2023‑09‑05,204,15,35,-25,9,18,216,99,6,33
182,Klang,Gjermund,background piano,2023,2023‑09‑05,69,7,44,-25,9,9,137,99,4,33
183,"This day, a life",Thomas Perceval,,2022,2023‑09‑05,96,5,54,-29,9,14,141,99,4,33
184,Pray,Taichi Chishaki,background piano,2023,2023‑09‑05,134,6,54,-27,16,64,137,100,4,33
185,On My Way Home,Akira Kosemura,compositional ambient,2022,2023‑09‑05,73,7,43,-23,11,15,151,96,4,33
186,Retreat,Justus Rümenapp,,2022,2023‑09‑05,139,4,34,-23,8,17,161,99,4,33
187,Alentejo,Dwight Rivera,,2022,2023‑09‑05,120,4,36,-26,11,24,137,97,5,33
188,"Du bist mîn, ich bin dîn",Garreth Broke,neo-classical,2022,2023‑09‑05,110,9,33,-23,10,12,132,99,5,33
189,Rêve Du Matin,Paul Herfort,,2022,2023‑09‑05,120,23,57,-20,10,31,156,98,3,33
190,Memoirs,Affinity88,background piano,2022,2023‑09‑05,122,7,46,-24,8,50,127,99,5,33
191,in the rain,Zecil Malka,,2022,2023‑09‑05,127,11,55,-24,10,30,135,98,4,33
192,Un Voyage Á Paris,Cameron Segal,,2022,2023‑09‑05,99,8,39,-23,16,53,135,99,3,33
193,Comme un tableau,Jean Willneuve,,2020,2023‑09‑05,111,7,47,-17,11,28,125,99,4,33
194,Lemons In London,Jesse Brown,neo-classical,2021,2023‑09‑05,101,9,44,-26,11,27,112,99,4,33
195,Inner Peace,Lianne Steeman,,2022,2023‑09‑05,76,2,39,-23,11,39,157,99,6,32
196,Brighter Days,Andrew Lodge,,2023,2023‑09‑05,147,9,37,-24,11,21,205,99,5,32
197,Could It Be?,Winston Church,,2022,2023‑09‑05,134,9,40,-26,11,44,112,99,3,32
198,Mistral,DeLange,,2022,2023‑09‑05,140,10,36,-26,10,19,304,99,4,32
199,Kleiner Schmetterling,David Fenger,,2022,2023‑09‑05,145,11,28,-32,11,22,216,99,4,32
200,Bundle of Joy,Brother James,,2020,2023‑09‑05,137,9,39,-27,11,51,70,99,5,32
