song title,artist,energy,song and artist
Echoes In The Night,Hers Lake,9,"Echoes In The Night by, Hers Lake"
The Top Brink,Haltura Arnadottir,14,"The Top Brink by, Haltura Arnadottir"
Zero Gravity,Rippling,6,"Zero Gravity by, Rippling"
the light of day,Imala Zir,11,"the light of day by, Imala Zir"
Follow My Voice,Niveous,6,"Follow My Voice by, Niveous"
The Quest,Spaced Out Dreams,22,"The Quest by, Spaced Out Dreams"
embraceable,Hers Lake,14,"embraceable by, Hers Lake"
Jalons,Rayonner,22,"Jalons by, Rayonner"
That Bird of Prey Casts a Long Shadow,Random Forest,19,"That Bird of Prey Casts a Long Shadow by, Random Forest"
Chorale Bloom,MVS,16,"Chorale Bloom by, MVS"
Waiting for the Sunrise,Across The Great Valley,16,"Waiting for the Sunrise by, Across The Great Valley"
Roundabout,NYMK,3,"Roundabout by, NYMK"
deep wild,Far & Beyond,2,"deep wild by, Far & Beyond"
Anagram,Imala Zir,9,"Anagram by, Imala Zir"
Hold My Hand,They Dream By Day,26,"Hold My Hand by, They Dream By Day"
Horizons,Hers Lake,18,"Horizons by, Hers Lake"
With Resolve,Jacob Yoffee,2,"With Resolve by, Jacob Yoffee"
The Five Times I Loved You,Cora Zea,8,"The Five Times I Loved You by, Cora Zea"
Vague,Amaranth Cove,25,"Vague by, Amaranth Cove"
Collapse Into Light,Evin Iris,23,"Collapse Into Light by, Evin Iris"
nameless wonder,Dreams Ahead,10,"nameless wonder by, Dreams Ahead"
circles,Niveous,11,"circles by, Niveous"
Horoscopes,Isaak Young,17,"Horoscopes by, Isaak Young"
apple of my eye,Spaced Out Dreams,13,"apple of my eye by, Spaced Out Dreams"
Return To Sender,Dreams Ahead,4,"Return To Sender by, Dreams Ahead"
Silver Lining,Agnes Lundh,4,"Silver Lining by, Agnes Lundh"
Ultraviolet,Josef Briem,5,"Ultraviolet by, Josef Briem"
neck of the woods,Dreams Ahead,4,"neck of the woods by, Dreams Ahead"
paragraphs,Dance Of Centuries,8,"paragraphs by, Dance Of Centuries"
Humane,Andrew Oye,9,"Humane by, Andrew Oye"
Tied Together,Agnes Lundh,8,"Tied Together by, Agnes Lundh"
Chasing Tides,Josef Briem,2,"Chasing Tides by, Josef Briem"
In A Week Or Two,Isaak Young,7,"In A Week Or Two by, Isaak Young"
summer silence,Niveous,6,"summer silence by, Niveous"
Eulogy,Woven Hearts,9,"Eulogy by, Woven Hearts"
Gentle Whisper,Josef Briem,26,"Gentle Whisper by, Josef Briem"
heels to the heavens,Dössell,16,"heels to the heavens by, Dössell"
Breathe,Night Songs,12,"Breathe by, Night Songs"
Undeniable,Hollow Light,19,"Undeniable by, Hollow Light"
Mývatn,Haltura Arnadottir,20,"Mývatn by, Haltura Arnadottir"
synergy,Dreams Ahead,13,"synergy by, Dreams Ahead"
aesthetics,Agnes Lundh,7,"aesthetics by, Agnes Lundh"
Heliosphere,Haltura Arnadottir,6,"Heliosphere by, Haltura Arnadottir"
bewildered,Garden Collective,12,"bewildered by, Garden Collective"
In Every Heartbeat,Axione,7,"In Every Heartbeat by, Axione"
The Outlook,Benjamin Martins,17,"The Outlook by, Benjamin Martins"
Mount Soul,Nova Explora,6,"Mount Soul by, Nova Explora"
Coastlines,Garden Collective,11,"Coastlines by, Garden Collective"
Undiscovered,Elementaries,13,"Undiscovered by, Elementaries"
